tradingDate,VNINDEX PE,VNINDEX PB,VNINDEX PS,HNXIndex PE,HNXIndex PB,HNXIndex PS,UpcomIndex PE,UpcomIndex PB,UpcomIndex PS,OILGAS_L2 PE,OILGAS_L2 PB,OILGAS_L2 PS,CHEMICAL_L2 PE,CHEMICAL_L2 PB,CHEMICAL_L2 PS,BASICRES_L2 PE,BASICRES_L2 PB,BASICRES_L2 PS,CONSTRMAT_L2 PE,CONSTRMAT_L2 PB,CONSTRMAT_L2 PS,INDUSTGDS_L2 PE,INDUSTGDS_L2 PB,INDUSTGDS_L2 PS,AUTOPARTS_L2 PE,AUTOPARTS_L2 PB,AUTOPARTS_L2 PS,FOODBEVERA_L2 PE,FOODBEVERA_L2 PB,FOODBEVERA_L2 PS,PERSHHOLD_L2 PE,PERSHHOLD_L2 PB,PERSHHOLD_L2 PS,HEALTHCARE_L2 PE,HEALTHCARE_L2 PB,HEALTHCARE_L2 PS,RETAIL_L2 PE,RETAIL_L2 PB,RETAIL_L2 PS,MEDIA_L2 PE,MEDIA_L2 PB,MEDIA_L2 PS,TRAVELLSR_L2 PE,TRAVELLSR_L2 PB,TRAVELLSR_L2 PS,TELECOM_L2 PE,TELECOM_L2 PB,TELECOM_L2 PS,UTILITIES_L2 PE,UTILITIES_L2 PB,UTILITIES_L2 PS,BANKS_L2 PE,BANKS_L2 PB,BANKS_L2 PS,INSURANCE_L2 PE,INSURANCE_L2 PB,INSURANCE_L2 PS,REALESTATE_L2 PE,REALESTATE_L2 PB,REALESTATE_L2 PS,FINSERV_L2 PE,FINSERV_L2 PB,FINSERV_L2 PS,TECHNOLOGY_L2 PE,TECHNOLOGY_L2 PB,TECHNOLOGY_L2 PS
2010-03-16,16.25980367,2.43170943,4.31764108,14.14002621,2.24963036,11.72171141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-17,16.0884556,2.40061782,4.24943411,13.8004381,2.22392913,11.78790544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-18,16.37757954,2.43862889,4.32433477,13.96905439,2.23957512,11.60874735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-19,16.24633579,2.41440207,4.30403127,14.06416193,2.24971156,11.61789718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-22,16.13393552,2.40467893,4.26733738,13.93744256,2.23217609,11.57452393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-23,16.02938569,2.3857861,4.23383296,13.78416973,2.2122404,11.62043411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-24,16.21332311,2.40862784,4.2765669,13.91702558,2.22519969,11.62931111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-25,15.58598751,2.36491333,4.00764755,13.52733241,2.16650877,10.71681167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-26,15.98298453,2.38097003,4.27102753,13.49615761,2.17324025,11.68714904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-29,15.88541126,2.37906835,4.23593821,13.59096574,2.17612003,11.25723993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-30,15.78216241,2.35325407,4.19639528,13.35694941,2.16860111,11.03461614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,15.75907727,2.34671103,4.182799,13.2520862,2.15761089,11.00878636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,15.94649519,2.38358601,4.2456729,13.37802879,2.1699374,10.98648095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-02,16.25270419,2.39260982,4.24439203,13.61007416,2.18676034,10.76392609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-05,16.31104223,2.41162082,4.27032122,13.85897431,2.21291167,10.69430609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-06,16.31828062,2.41424951,4.24664611,14.00964487,2.2291121,10.98083487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-07,16.30188866,2.41511027,4.98871498,14.08657796,2.23293985,10.86465362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-08,16.29038276,2.41289741,4.98353129,14.31811716,2.26981261,10.90254903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-09,15.42583507,2.41959418,5.05903826,14.42258889,2.29202786,10.89454686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-12,15.66009523,2.43608357,5.07505194,14.30053199,2.28561115,10.90908475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-13,15.67517534,2.42298813,5.1073726,12.21432972,2.26112517,10.76213067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-14,15.56193062,2.41175279,5.06791735,12.26409691,2.25516121,10.79936355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-15,15.70677013,2.43329097,5.09593473,12.27127308,2.28740899,10.7869874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-16,15.76358346,2.43832672,5.09286389,12.62918777,2.32073059,10.57023806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-19,15.51159865,2.41633908,5.03640443,12.77695255,2.32453034,10.33656334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-20,15.51940119,2.42288603,4.9656763,12.7518958,2.3193121,9.32241701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-21,15.75933205,2.44278087,4.98453578,13.33704098,2.386908,9.73939976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-22,15.98659479,2.48986396,5.17290034,13.62656634,2.4309161,9.93976892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-26,16.12682153,2.49548191,5.22358204,13.62124988,2.40287486,10.69576693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-27,16.37226559,2.51984947,5.25247007,13.60974535,2.3950888,10.57080362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-28,16.56916411,2.53274303,4.49164724,13.66929511,2.40038053,10.55300527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
